Gene	Gistic(Q-value)	Cytoband	CNA	Profiled Samples	Number	Freq	Is Cancer Gene (source: OncoKB)
HSDL2		9q32	HOMDEL	1	616	0.2%	No
RN7SL265P		7q11.23	AMP	2	616	0.3%	No
SLCO1B3		12p12.2	HOMDEL	2	616	0.3%	No
MAP1A	3.147e-8	15q15.3	HOMDEL	9	616	1.5%	No
RTF1	3.147e-8	15q15.1	HOMDEL	9	616	1.5%	No
SURF4		9q34.2	AMP	2	616	0.3%	No
MNS1		15q21.3	HOMDEL	3	616	0.5%	No
IQGAP3	1.892e-2	1q22	AMP	3	616	0.5%	No
DAW1		2q36.3	HOMDEL	1	616	0.2%	No
IL5RA		3p26.2	HOMDEL	2	616	0.3%	No
NFKBIZ		3q12.3	AMP	1	616	0.2%	No
MOSPD3		7q22.1	AMP	3	616	0.5%	No
DHRS12		13q14.3	HOMDEL	1	616	0.2%	No
CAMK2A		5q32	AMP	1	616	0.2%	No
TCOF1		5q32-q33.1	HOMDEL	1	616	0.2%	No
ATP8B3	9.757e-6	19p13.3	HOMDEL	4	616	0.6%	No
RNA5SP477		20p11.23	AMP	11	616	1.8%	No
ARL17B		17q21.31	AMP	2	616	0.3%	No
UNC5D		8p12	AMP	8	616	1.3%	No
RN7SL574P		1p36.32	HOMDEL	5	616	0.8%	No
MED22		9q34.2	AMP	2	616	0.3%	No
GIGYF1		7q22.1	AMP	3	616	0.5%	No
AARD		8q24.11	HOMDEL	1	616	0.2%	No
CD163		12p13.31	AMP	4	616	0.6%	No
ARHGAP9		12q13.3	AMP	2	616	0.3%	No
YIPF3	1.306e-5	6p21.1	AMP	6	616	1.0%	No
SCGB2A2		11q12.3	HOMDEL	2	616	0.3%	No
SCNM1	1.892e-2	1q21.3	AMP	4	616	0.6%	No
EML5	1.130e-1	14q31.3	HOMDEL	2	616	0.3%	No
RNA5SP476		20p11.23	AMP	10	616	1.6%	No
CAMK2B		7p13	AMP	4	616	0.6%	No
RN7SL656P		17q21.31	AMP	2	616	0.3%	No
SURF6		9q34.2	AMP	2	616	0.3%	No
ZNF738		19p12	HOMDEL	3	616	0.5%	No
RRP36	1.306e-5	6p21.1	AMP	6	616	1.0%	No
CCNB1IP1	6.190e-2	14q11.2	HOMDEL	1	616	0.2%	Yes
ELOB		16p13.3	HOMDEL	2	616	0.3%	No
HCG20		6p21	HOMDEL	1	616	0.2%	No
METRN		16p13.3	AMP	2	616	0.3%	No
PARM1		4q13.3	AMP	1	616	0.2%	No
CLDN25	1.152e-1	11q23.2	HOMDEL	1	616	0.2%	No
FAM184B		4p15.32-p15.31	AMP	1	616	0.2%	No
GLB1L2		11q25	AMP	1	616	0.2%	No
SUV39H1		Xp11.23	AMP	1	616	0.2%	No
UBE2QL1		5p15.31	AMP	5	616	0.8%	No
CAMK2G		10q22.2	AMP	4	616	0.6%	No
B4GALT5		20q13.13	AMP	50	616	8.1%	No
MUS81		11q13	HOMDEL	2	616	0.3%	No
OLIG3		6q23.3	AMP	2	616	0.3%	No
CAHM		6q26	HOMDEL	2	616	0.3%	No
CEMP1		16p13.3	HOMDEL	2	616	0.3%	No
USP17L10		4p16.1	AMP	1	616	0.2%	No
KLKB1		4q35.2	HOMDEL	15	616	2.4%	No
WDR27		6q27	HOMDEL	4	616	0.6%	No
SLX1B		16p11.2	AMP	4	616	0.6%	No
CD226		18q22.2	HOMDEL	16	616	2.6%	No
RN7SKP113	9.545e-2	4p16.2	HOMDEL	1	616	0.2%	No
PDE11A		2q31.2	HOMDEL	1	616	0.2%	No
AKAP14		Xq24	HOMDEL	1	616	0.2%	No
TP73		1p36.32	HOMDEL	5	616	0.8%	No
MAGED4		Xp11.22	HOMDEL	3	616	0.5%	No
UBA1		Xp11.3	HOMDEL	4	616	0.6%	No
SVBP		1p34.2	AMP	2	616	0.3%	No
TEX13A		Xq22.3	HOMDEL	1	616	0.2%	No
CCNYL2		10q11.21	HOMDEL	1	616	0.2%	No
DDX50		10q22.1	AMP	2	616	0.3%	No
ING5		2q37.3	HOMDEL	2	616	0.3%	No
PEMT		17p11.2	HOMDEL	5	616	0.8%	No
PALD1		10q22.1	AMP	1	616	0.2%	No
ASZ1		7q31.2	HOMDEL	1	616	0.2%	No
GIMAP4		7q36.1	HOMDEL	1	616	0.2%	No
SPG11		15q21.1	HOMDEL	11	616	1.8%	No
MIS12		17p13.2	HOMDEL	6	616	1.0%	No
EPOR		19p13.2	AMP	1	616	0.2%	Yes
RN7SL769P		12q24.11	HOMDEL	1	616	0.2%	No
PRIMA1	1.130e-1	14q32.12	HOMDEL	4	616	0.6%	No
MRNIP		5q35.3	AMP	1	616	0.2%	No
EPRS1	1.892e-2	1q41	AMP	4	616	0.6%	No
PCMTD1		8q11.23	AMP	18	616	2.9%	No
MLYCD		16q23.3	HOMDEL	2	616	0.3%	No
CAMK2A		5q32	HOMDEL	1	616	0.2%	No
CHRND		2q37.1	HOMDEL	2	616	0.3%	No
HTRA1		10q26.13	AMP	1	616	0.2%	No
KPNA7		7q22.1	AMP	3	616	0.5%	No
RN7SL743P		16p13.2	HOMDEL	1	616	0.2%	No
MRPS31		13q14.11	AMP	23	616	3.7%	No
SYN1		Xp11.3-p11.23	AMP	1	616	0.2%	No
CLN8		8p23.3	AMP	1	616	0.2%	No
EGFR		7p11.2	AMP	4	616	0.6%	Yes
MRFAP1L1		4p16.1	AMP	1	616	0.2%	No
GATAD2A		19p13.11	HOMDEL	3	616	0.5%	No
LINC00970	1.892e-2	1q24.2	AMP	5	616	0.8%	No
ARHGAP42		11q22.1	AMP	1	616	0.2%	No
CDK8		13q12.13	HOMDEL	1	616	0.2%	Yes
SYN2		3p25.2	AMP	2	616	0.3%	No
EPO		7q22.1	AMP	3	616	0.5%	No
AMER1		Xq11.2	AMP	1	616	0.2%	Yes
SLCO1A2		12p12.1	HOMDEL	1	616	0.2%	No
DENND2A		7q34	AMP	1	616	0.2%	No
RN7SL474P	6.103e-20	8p22	HOMDEL	42	616	6.8%	No
ZDHHC11B		5p15.33	AMP	7	616	1.1%	No
COL18A1		21q22.3	HOMDEL	3	616	0.5%	No
IDS		Xq28	HOMDEL	1	616	0.2%	No
EPHX2		8p21.2-p21.1	AMP	1	616	0.2%	No
SYP		Xp11.23	AMP	1	616	0.2%	No
MEGF8		19q13.2	AMP	2	616	0.3%	No
PTAFR		1p35.3	HOMDEL	1	616	0.2%	No
RABEPK		9q33.3	AMP	1	616	0.2%	No
RND2		17q21.31	AMP	2	616	0.3%	No
GPHN		14q23.3	AMP	1	616	0.2%	Yes
YLPM1	1.130e-1	14q24.3	HOMDEL	1	616	0.2%	No
STX2		12q24.33	AMP	1	616	0.2%	No
HSPA1A		6p21.33	HOMDEL	2	616	0.3%	No
CER1		9p22.3	AMP	5	616	0.8%	No
TIMM17B		Xp11.23	AMP	1	616	0.2%	No
IGSF5		21q22.2	HOMDEL	3	616	0.5%	No
FBXO17		19q13.2	AMP	4	616	0.6%	No
GREB1L		18q11.1-q11.2	AMP	1	616	0.2%	No
HPRT1		Xq26.2-q26.3	AMP	2	616	0.3%	No
EPDR1	2.467e-1	7p14.1	AMP	3	616	0.5%	No
SOHLH1		9q34.3	HOMDEL	1	616	0.2%	No
SYPL1		7q22.2	AMP	2	616	0.3%	No
YWHAE		17p13.3	HOMDEL	7	616	1.1%	Yes
EIF5A2		3q26.2	HOMDEL	1	616	0.2%	No
SLIT2		4p15.31	AMP	1	616	0.2%	No
UNC93B1		11q13.2	HOMDEL	1	616	0.2%	No
STEAP2		7q21.13	AMP	4	616	0.6%	No
VWA5B1		1p36.12	HOMDEL	2	616	0.3%	No
GIMAP7		7q36.1	HOMDEL	1	616	0.2%	No
CALCOCO2		17q21.32	AMP	4	616	0.6%	No
SYT1		12q21.2	AMP	1	616	0.2%	No
EPHX1	1.892e-2	1q42.12	AMP	4	616	0.6%	No
MEGF6		1p36.32	AMP	1	616	0.2%	No
SNORD84		6p21.33	HOMDEL	2	616	0.3%	No
OR1D5		17p13.3	HOMDEL	5	616	0.8%	No
LACC1		13q14.11	HOMDEL	2	616	0.3%	No
LAMB2		3p21.31	HOMDEL	2	616	0.3%	No
VBP1		Xq28	HOMDEL	2	616	0.3%	No
ASS1		9q34.11	HOMDEL	1	616	0.2%	No
SDHAP3		5p15.33	HOMDEL	2	616	0.3%	No
CNN1		19p13.2	HOMDEL	3	616	0.5%	No
ZNF518B	9.545e-2	4p16.1	HOMDEL	2	616	0.3%	No
HSD17B3		9q22.32	HOMDEL	1	616	0.2%	No
EFR3A		8q24.22	HOMDEL	1	616	0.2%	No
POP7		7q22.1	AMP	3	616	0.5%	No
CHCHD2		7p11.2	AMP	2	616	0.3%	No
RNY3P4		13q12.12	HOMDEL	1	616	0.2%	No
PLEKHO2		15q22.31	HOMDEL	1	616	0.2%	No
MGAT4C	1.486e-1	12q21.31-q21.32	HOMDEL	3	616	0.5%	No
ICA1L		2q33.2	HOMDEL	1	616	0.2%	No
SCAF8		6q25.2	HOMDEL	1	616	0.2%	No
NOX1		Xq22.1	HOMDEL	1	616	0.2%	No
PCNX2	1.892e-2	1q42.2	AMP	4	616	0.6%	No
CCT5		5p15.2	HOMDEL	1	616	0.2%	No
ADAM7	6.103e-20	8p21.2	HOMDEL	39	616	6.3%	No
H4C4		6p22.2	HOMDEL	3	616	0.5%	No
TIPRL	1.892e-2	1q24.2	AMP	3	616	0.5%	No
PAPOLA	1.130e-1	14q32.2	HOMDEL	2	616	0.3%	No
LCN9		9q34.3	HOMDEL	1	616	0.2%	No
IFNA16	1.016e-1	9p21.3	HOMDEL	1	616	0.2%	No
TMEM120A		7q11.23	AMP	2	616	0.3%	No
SLC17A2		6p22.2	AMP	2	616	0.3%	No
HSD17B12		11p11.2	AMP	1	616	0.2%	No
SLC46A3		13q12.3	AMP	33	616	5.4%	No
RN7SL155P		19p13.11	HOMDEL	3	616	0.5%	No
SMAP1		6q13	HOMDEL	2	616	0.3%	No
EDEM3	1.892e-2	1q25.3	AMP	4	616	0.6%	No
PRPS1L1	2.467e-1	7p21.1	AMP	2	616	0.3%	No
DPY19L2P1	2.467e-1	7p14.2	AMP	2	616	0.3%	No
RSPH3		6q25.3	AMP	3	616	0.5%	No
SERPIND1		22q11.21	HOMDEL	1	616	0.2%	No
DYNC1LI1		3p22.3	AMP	1	616	0.2%	No
RIDA		8q22.2	AMP	27	616	4.4%	No
ADGRE3		19p13.12	HOMDEL	4	616	0.6%	No
ABHD15		17q11.2	AMP	4	616	0.6%	No
OR2L5	1.892e-2	1q44	AMP	4	616	0.6%	No
LINC00971		3p12.1	AMP	2	616	0.3%	No
RNA5SP279	1.016e-1	9p24.3	HOMDEL	2	616	0.3%	No
PRDM15		21q22.3	HOMDEL	1	616	0.2%	No
ZC3H12D		6q25.1	HOMDEL	1	616	0.2%	No
SSUH2		3p25.3	HOMDEL	1	616	0.2%	No
ARMS2		10q26.13	HOMDEL	1	616	0.2%	No
ZCCHC24	4.415e-3	10q22.3	AMP	6	616	1.0%	No
PLXDC2		10p12.31	HOMDEL	2	616	0.3%	No
BTC		4q13.3	HOMDEL	2	616	0.3%	No
ITGA8		10p13	HOMDEL	1	616	0.2%	No
C10ORF88		10q26.13	AMP	1	616	0.2%	No
C16ORF82		16p12.1	AMP	4	616	0.6%	No
ALKBH3		11p11.2	HOMDEL	1	616	0.2%	No
LY6K		8q24.3	AMP	27	616	4.4%	No
TMPRSS11A		4q13.2	HOMDEL	1	616	0.2%	No
DHRS3		1p36.21	HOMDEL	4	616	0.6%	No
ARL2BPP3		13q13.3	HOMDEL	1	616	0.2%	No
TTLL13		15q26.1	HOMDEL	1	616	0.2%	No
RN7SKP85		8q22.2	HOMDEL	1	616	0.2%	No
COMMD7		20q11.21	AMP	52	616	8.4%	No
STRADA		17q23.3	HOMDEL	1	616	0.2%	No
FAM85B		8p23.1	AMP	1	616	0.2%	No
SCNN1D		1p36.33	HOMDEL	5	616	0.8%	No
DCN	1.486e-1	12q21.33	HOMDEL	1	616	0.2%	No
FAM216B		13q14.11	AMP	23	616	3.7%	No
EPS8		12p12.3	AMP	1	616	0.2%	No
LANCL3		Xp21.1	HOMDEL	3	616	0.5%	No
SPATA5L1		15q21.1	HOMDEL	7	616	1.1%	No
MSI2		17q22	AMP	3	616	0.5%	Yes
OR2G3	1.892e-2	1q44	AMP	4	616	0.6%	No
TMPRSS15		21q21.1	AMP	2	616	0.3%	No
SCARNA1		1p35.3	HOMDEL	1	616	0.2%	No
DNAJA3		16p13.3	HOMDEL	2	616	0.3%	No
MAPK1		22q11.22	HOMDEL	2	616	0.3%	Yes
AFAP1L2	7.013e-9	10q25.3	HOMDEL	2	616	0.3%	No
NIBAN1	1.892e-2	1q25.3	AMP	4	616	0.6%	No
RN7SL269P	1.892e-2	1q24.2	AMP	4	616	0.6%	No
C20ORF204		20q13.33	AMP	47	616	7.6%	No
ATP11AUN		13q34	AMP	21	616	3.4%	No
ING4		12p13.31	AMP	4	616	0.6%	No
RN7SL507P		17q21.31	HOMDEL	1	616	0.2%	No
SYK		9q22.2	AMP	3	616	0.5%	Yes
SSNA1		9q34.3	HOMDEL	2	616	0.3%	No
CAMTA1		1p36.31-p36.23	HOMDEL	7	616	1.1%	Yes
NRXN3	1.130e-1	14q24.3-q31.1	HOMDEL	5	616	0.8%	No
PRSS8		16p11.2	AMP	5	616	0.8%	Yes
RN7SKP227		3p22.2	HOMDEL	1	616	0.2%	No
CEP44		4q34.1	HOMDEL	7	616	1.1%	No
RN7SL120P		3p26.3	HOMDEL	3	616	0.5%	No
COP1	1.892e-2	1q25.1-q25.2	AMP	4	616	0.6%	Yes
SLITRK2		Xq27.3	HOMDEL	1	616	0.2%	No
DDX60L		4q32.3	HOMDEL	6	616	1.0%	No
TSBP1		6p21.32	HOMDEL	2	616	0.3%	No
RNA5SP85		2p25.1	HOMDEL	2	616	0.3%	No
BPIFB4		20q11.21	AMP	51	616	8.3%	No
LINC00462		13q14.2	AMP	19	616	3.1%	No
MAGI1		3p14.1	HOMDEL	2	616	0.3%	No
GOLGA8IP		15q11.2	AMP	2	616	0.3%	No
UBA7		3p21.31	HOMDEL	2	616	0.3%	No
ZNF81		Xp11.23	AMP	1	616	0.2%	No
KLC4	1.306e-5	6p21.1	AMP	7	616	1.1%	No
SCAMP4		19p13.3	HOMDEL	3	616	0.5%	No
NEFM	6.103e-20	8p21.2	HOMDEL	38	616	6.2%	No
ABCG1		21q22.3	HOMDEL	1	616	0.2%	No
WDR4		21q22.3	HOMDEL	1	616	0.2%	No
YTHDC1		4q13.2	HOMDEL	1	616	0.2%	No
HSFX2		Xq28	HOMDEL	1	616	0.2%	No
ATAD3B		1p36.33	AMP	1	616	0.2%	No
CDK11A		1p36.33	AMP	1	616	0.2%	No
XPO4		13q12.11	AMP	34	616	5.5%	No
RNA5SP176		5p15.31	HOMDEL	1	616	0.2%	No
CDC37L1	1.016e-1	9p24.1	HOMDEL	1	616	0.2%	No
CPXM2		10q26.13	HOMDEL	1	616	0.2%	No
EFTUD2		17q21.31	HOMDEL	1	616	0.2%	No
FBXW7		4q31.3	HOMDEL	3	616	0.5%	Yes
CAMP		3p21.31	AMP	1	616	0.2%	No
MYH3		17p13.1	HOMDEL	7	616	1.1%	No
TGFB2		1q41	HOMDEL	1	616	0.2%	No
TMTC1		12p11.22	AMP	5	616	0.8%	No
ZNF442		19p13.2	HOMDEL	3	616	0.5%	No
GALK2		15q21.1-q21.2	HOMDEL	6	616	1.0%	No
ARIH2		3p21.31	HOMDEL	3	616	0.5%	No
CIB3		19p13.11	HOMDEL	3	616	0.5%	No
CANX		5q35.3	AMP	1	616	0.2%	No
NPY2R		4q32.1	HOMDEL	4	616	0.6%	No
MCTP2		15q26.2	HOMDEL	2	616	0.3%	No
RNA5SP456		18q21.1	AMP	1	616	0.2%	No
ABCB10	1.892e-2	1q42.13	AMP	4	616	0.6%	No
DCAF12		9p13.3	AMP	1	616	0.2%	No
WFIKKN1		16p13.3	HOMDEL	4	616	0.6%	No
TAB3		Xp21.2	AMP	1	616	0.2%	No
PEX5L		3q26.33	HOMDEL	1	616	0.2%	No
CEP170		1q43	HOMDEL	1	616	0.2%	No
PDZD4		Xq28	HOMDEL	1	616	0.2%	No
SCARA3		8p21.1	HOMDEL	34	616	5.5%	No
RNA5SP455		18q12.3	AMP	1	616	0.2%	No
RN7SL285P		6p21.2	AMP	3	616	0.5%	No
FAM149A		4q35.1	AMP	1	616	0.2%	No
PITPNM2		12q24.31	HOMDEL	1	616	0.2%	No
TM4SF20		2q36.3	HOMDEL	1	616	0.2%	No
GPR12		13q12.13	HOMDEL	1	616	0.2%	No
DNM3		1q24.3	HOMDEL	2	616	0.3%	No
INTS10	6.103e-20	8p21.3	HOMDEL	42	616	6.8%	No
ALG1L13P		8p23.1	HOMDEL	42	616	6.8%	No
ENTPD4	6.103e-20	8p21.3	HOMDEL	38	616	6.2%	No
POLR1F	2.467e-1	7p21.1	AMP	3	616	0.5%	No
RSBN1L		7q11.23	AMP	2	616	0.3%	No
RNA5SP507		Xq13.1	HOMDEL	2	616	0.3%	No
PLP2		Xp11.23	HOMDEL	3	616	0.5%	No
LINC00665	9.774e-2	19q13.12	AMP	1	616	0.2%	No
ATG16L1		2q37.1	HOMDEL	1	616	0.2%	No
ZNF345		19q13.12	AMP	2	616	0.3%	No
THRB		3p24.2	HOMDEL	1	616	0.2%	No
TRAF5		1q32.3	HOMDEL	1	616	0.2%	Yes
SLC45A2		5p13.2	AMP	6	616	1.0%	No
CAPN2	1.892e-2	1q41	AMP	4	616	0.6%	No
TEX38		1p33	AMP	1	616	0.2%	No
RN7SKP143		10q23.31	HOMDEL	3	616	0.5%	No
RN7SL291P		Xp11.3	AMP	1	616	0.2%	No
RNA5SP457		18q21.1	AMP	1	616	0.2%	No
NAXE	1.892e-2	1q22	AMP	3	616	0.5%	No
HSP90AB2P		4p15.33	AMP	1	616	0.2%	No
COX20	1.892e-2	1q44	AMP	4	616	0.6%	No
DHX35	0	20q11.23-q12	AMP	44	616	7.1%	No
TECPR1		7q21.3	AMP	3	616	0.5%	No
TCERG1		5q32	HOMDEL	1	616	0.2%	No
SDF4		1p36.33	AMP	1	616	0.2%	No
SLC25A41		19p13.3	HOMDEL	3	616	0.5%	No
GOLGA8DP		15q11.2	AMP	2	616	0.3%	No
AGBL4		1p33	HOMDEL	50	616	8.1%	No
EFTUD2		17q21.31	AMP	2	616	0.3%	No
C1ORF162	4.912e-6	1p13.2	HOMDEL	4	616	0.6%	No
MAP1B		5q13.2	HOMDEL	2	616	0.3%	No
RELN		7q22.1	AMP	3	616	0.5%	Yes
SLC25A46	5.188e-23	5q22.1	HOMDEL	13	616	2.1%	No
CYP4F22		19p13.12	HOMDEL	3	616	0.5%	No
TCN2		22q12.2	HOMDEL	1	616	0.2%	No
SLC16A11		17p13.1	HOMDEL	9	616	1.5%	No
TANGO6		16q22.1	HOMDEL	1	616	0.2%	No
LUZP1		1p36.12	HOMDEL	2	616	0.3%	No
SYCP1		1p13.2	AMP	1	616	0.2%	No
RNA5SP460		18q22.3	AMP	2	616	0.3%	No
CELSR3		3p21.31	AMP	1	616	0.2%	No
STYXL2	1.892e-2	1q24.1	AMP	3	616	0.5%	No
CAPNS1	9.774e-2	19q13.12	AMP	1	616	0.2%	No
VCAM1	4.912e-6	1p21.2	HOMDEL	2	616	0.3%	No
EPHB4		7q22.1	AMP	3	616	0.5%	Yes
ABRAXAS1		4q21.23	HOMDEL	2	616	0.3%	Yes
SLC38A9		5q11.2	HOMDEL	5	616	0.8%	No
TMSB15A		Xq22.1	HOMDEL	1	616	0.2%	No
ZNF124		1q44	HOMDEL	1	616	0.2%	No
DDA1		19p13.11	AMP	1	616	0.2%	No
PDS5B		13q13.1	HOMDEL	1	616	0.2%	Yes
CAPN6		Xq23	AMP	1	616	0.2%	No
ITGB2		21q22.3	HOMDEL	5	616	0.8%	No
C5ORF49		5p15.31	AMP	5	616	0.8%	No
SAPCD2		9q34.3	AMP	4	616	0.6%	No
MAN1B1		9q34.3	HOMDEL	2	616	0.3%	No
TAOK2		16p11.2	AMP	4	616	0.6%	No
HS3ST3B1		17p12	HOMDEL	7	616	1.1%	No
SOX17		8q11.23	AMP	17	616	2.8%	Yes
GGCT	2.467e-1	7p14.3	AMP	5	616	0.8%	No
CAPS		19p13.3	AMP	1	616	0.2%	No
USP50		15q21.1	HOMDEL	4	616	0.6%	No
SOX1-OT		13q34	AMP	20	616	3.2%	No
DPP9		19p13.3	AMP	1	616	0.2%	No
CPAMD8		19p13.11	AMP	1	616	0.2%	No
CAPZA1		1p13.2	AMP	1	616	0.2%	No
RNA5SP465		19p13.2	AMP	1	616	0.2%	No
KLF8		Xp11.21	HOMDEL	2	616	0.3%	No
PRSS29P		16p13.3	HOMDEL	4	616	0.6%	No
CPLANE2		1p36.13	HOMDEL	3	616	0.5%	No
RN7SKP107	1.130e-1	14q32.11	HOMDEL	2	616	0.3%	No
NDOR1		9q34.3	AMP	4	616	0.6%	No
MICB		6p21.33	HOMDEL	2	616	0.3%	No
TPBG		6q14.1	HOMDEL	2	616	0.3%	No
FTX		Xq13.2	HOMDEL	4	616	0.6%	No
TEX12	1.152e-1	11q23.1	HOMDEL	1	616	0.2%	No
EFCAB2		1q44	HOMDEL	1	616	0.2%	No
RNA5SP464		19p13.2	AMP	1	616	0.2%	No
UPP2		2q24.1	HOMDEL	2	616	0.3%	No
SP100		2q37.1	HOMDEL	1	616	0.2%	No
TAF15		17q12	AMP	3	616	0.5%	Yes
ZNF865		19q13.42	AMP	1	616	0.2%	No
SPTLC3		20p12.1	HOMDEL	2	616	0.3%	No
RPL23		17q12	AMP	9	616	1.5%	No
IGLL1		22q11.23	HOMDEL	1	616	0.2%	No
NBPF18P	1.892e-2	1q21.3	AMP	4	616	0.6%	No
TGM6		20p13	AMP	4	616	0.6%	No
RSPH14		22q11.22-q11.23	AMP	1	616	0.2%	No
LINC00620		3p25.1	HOMDEL	1	616	0.2%	No
TMEM210		9q34.3	AMP	4	616	0.6%	No
DCLK2		4q31.23-q31.3	AMP	1	616	0.2%	No
MAGEB6		Xp21.3	HOMDEL	4	616	0.6%	No
FAM83B		6p12.1	HOMDEL	1	616	0.2%	No
TMEM52		1p36.33	HOMDEL	5	616	0.8%	No
COQ3		6q16.2	HOMDEL	4	616	0.6%	No
CDKL5		Xp22.13	HOMDEL	4	616	0.6%	No
OR2L13		1q44	HOMDEL	1	616	0.2%	No
LSM11		5q33.3	HOMDEL	1	616	0.2%	No
TAC1		7q21.3	AMP	3	616	0.5%	No
TAFA5		22q13.32	AMP	1	616	0.2%	No
PPIAL4D		1q21.1	HOMDEL	1	616	0.2%	No
C4ORF48		4p16.3	AMP	2	616	0.3%	No
EREG		4q13.3	AMP	1	616	0.2%	No
BMX		Xp22.2	HOMDEL	4	616	0.6%	No
BMF	3.147e-8	15q15.1	HOMDEL	8	616	1.3%	No
SCNN1B		16p12.2-p12.1	HOMDEL	2	616	0.3%	No
ABT1		6p22.2	AMP	2	616	0.3%	No
GRIN1		9q34.3	AMP	5	616	0.8%	No
COIL		17q22	AMP	2	616	0.3%	No
LINC02868	4.912e-6	1p13.1	HOMDEL	3	616	0.5%	No
GLRA3		4q34.1	HOMDEL	10	616	1.6%	No
CAMK1D		10p13	HOMDEL	4	616	0.6%	No
AGFG2		7q22.1	AMP	3	616	0.5%	No
GRPEL1		4p16.1	AMP	1	616	0.2%	No
MSRB2		10p12.2	HOMDEL	1	616	0.2%	No
LINC00691		3p24.2	HOMDEL	1	616	0.2%	No
RAB39A		11q22.3	AMP	1	616	0.2%	No
KLF17		1p34.1	AMP	1	616	0.2%	No
MAFA		8q24.3	AMP	28	616	4.5%	No
CHM		Xq21.2	HOMDEL	3	616	0.5%	No
OR2C3	1.892e-2	1q44	AMP	4	616	0.6%	No
OR1E1		17p13.3	HOMDEL	6	616	1.0%	No
MTRNR2L7		10p11.21	HOMDEL	1	616	0.2%	No
ASIC5		4q32.1	HOMDEL	4	616	0.6%	No
GZMA		5q11.2	AMP	1	616	0.2%	No
GRIN2A		16p13.2	AMP	1	616	0.2%	Yes
MRTFB		16p13.12	AMP	1	616	0.2%	No
NET1		10p15.1	AMP	1	616	0.2%	No
INPP5E		9q34.3	HOMDEL	2	616	0.3%	No
TAPT1		4p15.32	HOMDEL	1	616	0.2%	No
SLC35F2		11q22.3	AMP	1	616	0.2%	No
FREM1		9p22.3	AMP	5	616	0.8%	No
SEMA3D		7q21.11	AMP	4	616	0.6%	No
TACR2		10q22.1	AMP	3	616	0.5%	No
CUEDC2		10q24.32	HOMDEL	5	616	0.8%	No
BARX1		9q22.32	AMP	2	616	0.3%	No
FAM24B		10q26.13	HOMDEL	1	616	0.2%	No
EIF2S3		Xp22.11	AMP	3	616	0.5%	No
LONP1		19p13.2	AMP	1	616	0.2%	No
CPB2		13q14.13	HOMDEL	4	616	0.6%	No
DNMT3L		21q22.3	HOMDEL	3	616	0.5%	No
LINC00362		13q12.12	HOMDEL	1	616	0.2%	No
FOXA2		20p11.21	HOMDEL	1	616	0.2%	No
GRIK4		11q23.3	AMP	1	616	0.2%	No
AURKAIP1		1p36.33	AMP	1	616	0.2%	No
LRFN2		6p21.2-p21.1	AMP	5	616	0.8%	No
SLC2A13		12q12	HOMDEL	2	616	0.3%	No
ERAS		Xp11.23	AMP	1	616	0.2%	No
NALF2		Xq13.1	AMP	1	616	0.2%	No
ITPKC		19q13.2	AMP	3	616	0.5%	No
CTAG1A		Xq28	AMP	4	616	0.6%	No
SNORD7		17q12	HOMDEL	1	616	0.2%	No
IKBKG		Xq28	HOMDEL	2	616	0.3%	No
HGSNAT		8p11.21-p11.1	AMP	28	616	4.5%	No
STUB1		16p13.3	AMP	2	616	0.3%	No
CDH3		16q22.1	HOMDEL	1	616	0.2%	No
ADAT1		16q23.1	HOMDEL	1	616	0.2%	No
PDGFC		4q32.1	AMP	1	616	0.2%	No
TM9SF3		10q24.1	HOMDEL	5	616	0.8%	No
ART4	1.319e-2	12p12.3	HOMDEL	2	616	0.3%	No
TAC3		12q13.3	AMP	2	616	0.3%	No
OR2G2	1.892e-2	1q44	AMP	4	616	0.6%	No
PPIG		2q31.1	AMP	1	616	0.2%	No
CALN1		7q11.22	HOMDEL	1	616	0.2%	No
OR2A42		7q35	AMP	1	616	0.2%	No
ZNF630		Xp11.23	AMP	1	616	0.2%	No
WWC1		5q34	HOMDEL	1	616	0.2%	No
GRIK5		19q13.2	AMP	1	616	0.2%	No
KRT223P		17q21.2	HOMDEL	1	616	0.2%	No
C7ORF25		7p14.1	AMP	5	616	0.8%	No
IFNA10	1.016e-1	9p21.3	HOMDEL	1	616	0.2%	No
SAMD4B		19q13.2	AMP	4	616	0.6%	No
DDR1		6p21.33	HOMDEL	1	616	0.2%	Yes
RN7SL838P		11p15.5	HOMDEL	4	616	0.6%	No
SDCBP2		20p13	AMP	4	616	0.6%	No
OLMALINC		10q24.31	HOMDEL	5	616	0.8%	No
SNORD56B	1.130e-1	14q24.2	HOMDEL	2	616	0.3%	No
ZNF844		19p13.2	HOMDEL	3	616	0.5%	No
ZKSCAN4		6p22.1	AMP	2	616	0.3%	No
CREBBP		16p13.3	HOMDEL	2	616	0.3%	Yes
RAB33A		Xq26.1	AMP	1	616	0.2%	No
ERBB3		12q13.2	AMP	2	616	0.3%	Yes
HMCN1	1.892e-2	1q25.3-q31.1	AMP	5	616	0.8%	No
SMARCC2		12q13.2	AMP	2	616	0.3%	No
ZXDB		Xp11.21	AMP	1	616	0.2%	No
GOLGA8B	2.325e-6	15q14	HOMDEL	7	616	1.1%	No
HDAC5		17q21.31	AMP	2	616	0.3%	No
PSG1		19q13.2	AMP	2	616	0.3%	No
